 "X","Y","Z"
           0 ,  -3.7000000000000002      ,   5.5511151231257827E-017
           1 ,  -1.8000000000000000      ,   1.9999999999999996     
           2 ,  -1.0000000000000000      ,  0.99999999999999978     
           3 , -0.69999999999999996      ,   2.7755575615628914E-016
           4 , -0.40000000000000002      ,   1.9999999999999991     
           5 ,  -0.0000000000000000      ,   1.0000000000000007     
           6 ,   0.0000000000000000      ,   1.0000000000000000     
           7 ,  0.40000000000000002      ,   1.6653345369377348E-016
           8 ,   1.2000000000000000      ,   1.9999999999999991     
           9 ,   2.0000000000000000      ,   3.9999999999999982     
