    0    0    2.0000000000    4.0000000000         1
    1    0    2.0000000000    4.0000000000         1
    1    1    1.7071067812    3.0000000000         1
    1    2    1.0000000000    3.0000000000         1
    1    3    0.2928932188    3.0000000000         1
    1    4    0.0000000000    3.0000000000         1
    2    0   -1.8019377358    2.0000000000         4
    2    1   -1.1441228056    2.0000000000         3
    2    2   -1.2670350984    2.0000000000         4
    2    3   -0.4370160244    2.0000000000         3
    2    4   -0.0000000000    2.0009877794         4
    3    0   -1.8019377358    2.0000000000         7
    3    1   -2.4587385089    1.0000000000         7
    3    2   -1.8546376797    1.0000000000         7
    3    3   -2.1451483739    1.0000000000         7
    3    4   -3.1284190638    1.0000000000         7
    4    0   -3.6510934089    0.0000000000        10
    4    1   -2.4587385089    1.0000000000         8
    4    2   -1.8546376797    1.0000000000         9
    4    3   -2.1451483739    1.0000000000         8
    4    4   -3.1284190638    1.0000000000        10
