 "X","Y","Z"
           0 ,  -1.8000000000000000      ,   2.0000000000000009     
           1 ,  -1.3000000000000000      ,   2.0000000000000004     
           2 ,  -1.3000000000000000      ,   1.9999999999999991     
           3 ,  -1.1000000000000001      ,   2.0000000000000000     
           4 ,  -1.1000000000000001      ,   2.0000000000000000     
           5 , -0.40000000000000002      ,   2.0000000000000022     
           6 , -0.40000000000000002      ,   2.0000000000000018     
           7 , -0.40000000000000002      ,   2.0000000000000013     
           8 , -0.29999999999999999      ,   1.9999999999999991     
           9 , -0.29999999999999999      ,   2.0000000000000004     
          10 ,   0.0000000000000000      ,   2.9954342715625244     
          11 ,   0.0000000000000000      ,   2.0059101893296600     
          12 ,   0.0000000000000000      ,   2.0004706309412947     
          13 ,  0.29999999999999999      ,   2.9999999999999996     
          14 ,  0.29999999999999999      ,   2.9999999999999996     
          15 ,  0.40000000000000002      ,   2.0000000000000004     
          16 ,  0.40000000000000002      ,   2.0000000000000000     
          17 ,   1.0000000000000000      ,   2.7015604867682619     
          18 ,   1.0000000000000000      ,   2.7230695440849271     
          19 ,   1.0000000000000000      ,   2.6799108735240265     
          20 ,   1.1000000000000001      ,   2.0000000000000000     
          21 ,   1.1000000000000001      ,   2.0000000000000000     
          22 ,   1.2000000000000000      ,   2.0000000000000009     
          23 ,   1.5000000000000000      ,   2.0000000000000004     
          24 ,   1.5000000000000000      ,   2.0000000000000004     
          25 ,   1.7000000000000000      ,   3.0000000000000004     
          26 ,   1.7000000000000000      ,   2.9999999999999996     
          27 ,   2.0000000000000000      ,   4.0000000000000018     
