    0    1    1   -3.6510934089    0.0000000000         7
    0    1   -1    0.0000000000    1.0000000000         1
    0   -1   -1   -1.0000000000    1.0000000000         2
    1    1    1   -1.1441228056    2.0000000000         3
    1    1   -1   -2.4587385089    1.0000000000         5
    2    1    1   -1.6180339887    0.0000000000         5
    2    1   -1   -1.8546376797    1.0000000000         4
    3    1    1   -1.7071067812    0.0000000000         3
    3    1   -1   -2.1451483739    1.0000000000         5
    4    1    1   -2.6996281483    0.0000000000         5
    4   -1    1    0.0000000000    2.0000000000         1
    4   -1   -1   -3.1284190638    1.0000000000         4
    0    1    1   -3.6510934089    0.0000000000         7
    0    1   -1    0.0000000000    1.0000000000         1
    0   -1   -1   -1.0000000000    1.0000000000         2
    1    1    1   -1.1441228056    2.0000000000         3
    1    1   -1   -2.4587385089    1.0000000000         5
    2    1    1   -1.6180339887    0.0000000000         5
    2    1   -1   -1.8546376797    1.0000000000         4
    3    1    1   -1.7071067812    0.0000000000         3
    3    1   -1   -2.1451483739    1.0000000000         5
    4    1    1   -2.6996281483    0.0000000000         5
    4   -1    1    0.0000000000    2.0000000000         1
    4   -1   -1   -3.1284190638    1.0000000000         4
